common_name,scientific_name,temp_air_c,temp_water_c,soil_moisture,humidity,nutrient,ph,min_germination_days,max_germination_days,instructions
,Limonium gmelinii,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 4 wks"
,Linanthus nuttallii,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Linaria aerugina, alpina, and purpurea ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Linaria vulgaris,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Linaria genistifolia, and supina ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Lindelofia longiflora ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Linum alpinum, flavum, and perenne ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Linum capitatum, dolomiticum, and narbonense ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Liriope muscari,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Lithospermum canescens, croceum, and incisum ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Lithospermum caroliniense, and purpureo-caeruleum,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Loasa sp. ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Lobelia cardinalis, fulgens, x gerardii, sessilifolia, speciosa, and siphilitica ,",,,,,,,,,"Surface sow at 22-24ºC (71-75ºF) in light, germination in less than 2 weeks"
,"Lobelia spicata ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Loiseleuria procumbens,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Lopezia racemosa ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Lotus corniculatus ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Ludwigia alternatifolia, and hexapetala ,",,,,,,,,,"Sow at 4ºC (40ºF) for 6 wks, move to 20ºC (68ºF) for germination"
,"Lunaria biennis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Lupin,"Lupinus arboreus, littoralis, podophyllus, polyphyllus, russel hybrids, sericeus, and texensis ,",,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 20ºC (68ºF) for germination in more than two weeks."
Lupin,"Lupinus lepidus, perennis ,",,,,,,,,,"Pour hot water over seeds, let soak 1-3 days until swelling noticeable. Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 12 wks, then return to 20ºC (68ºF) for germination"
,"Luzula nivea, and sylvatica",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 4 wks"
,Luzula alpinopilosa,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Luzula luzuloides, and ulophylla",,,,,,,,,"Surface sow at 20ºC (68ºF), germination slow"
,"Lycene teunifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Campion,"Lychnis alpina, x arkwrightii, chalcedonica, coronaria, flos-cuculi, flos-jovis, x haageana, migueliana, viscaria, and yunnanensis,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Campion,Lychnis sieboldii,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 4 wks"
,"Lycopus virginicus ,",,,,,,,,,"Sow at 4ºC (40ºF) for 6 wks, move to 20ºC (68ºF) for germination"
Loosestrife,"Lysimachia atropurpurea , and ciliata ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Loosestrife,"Lysimachia barystachys ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Loosestrife,"Lysimachia clethroides, ephemerum, and punctatum,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Loosestrife,"Lysimachia lanceolata, and quadriflora ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germ."
Loosestrife,"Lysimachia lichiangensis , and minoricensis,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
Purple Loosestrife,"Lythrum alatum, and anceps ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Purple Loosestrife,"Lythrum salicaria ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Macleaya cordata ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Madia elegans ,",,,,,,,,,"Sow at 4ºC (40ºF) for 6 wks, move to 20ºC (68ºF) for germination"
,Maianthemum bifolium,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Malva alcea, and moschata,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Malva arbourea , neglecta, and sylvestris,",,,,,,,,,"Sow at 20ºC (68ºF) in light, germinates in less than two wks"
,"Mandragora autumnalis, and officinarum",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Marrubium cyllenium, friwaldskyanum, incanum, and suppinum,",,,,,,,,,"Sow at 20ºC (68ºF), germ. in less than two wks"
,"Marrubium vulgare ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Marshalia trinervia ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Mazus reptans,,,,,,,,,"Surface sow at 20ºC (68ºF), germination slow"
Himalayan Poppy,"Meconopsis aculeata, x beamishii, betonicifolia, cambrica, dhwojii, grandis, horridula, integrifolia, napaulensis, lancifolia, regia, x sheldonii, and villosa ,",,,,,,,,,Germinates in low temperatures; 5 to 15ºC (41 to 59ºF)
Himalayan Poppy,"Meconopsis punicea, and quintuliplinervia ,",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
,"Medicago sativa ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Megacarpaea polyandra ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Melica ciliata,,,,,,,,,"Dry store seeds for 6 months, then sow at 20ºC (68ºF), germinates in about two wks"
,"Melica altissima, nutans, transsilvanica, and uniflora",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Melissa officianalis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Melittis melissophyllum,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Mentha aquatica, and longifolia",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Mertensia maritima,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Mertensia primuloides ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Meum athamanticum ,",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
,"Micromeria thymifolia ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Milium effusum,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Mimulus cardinalis, cupreus, guttatus, lewisii, luteus, minima, and tilingii,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germinates in less than two wks"
,Mimulus ringens,,,,,,,,,"Surface sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Minuartia capilacea, laricifolia, and verna",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Mitella pentandra ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Miscanthus sinensis, and transmorrisonensis",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Molinia arundinacea, and caerulea",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Bee Balm,"Monarda astromontana, bradburiana, didyma, x hybrida, and punctata ,",,,,,,,,,"Sow at 20ºC (68ºF), germ. in less than two wks"
Bee Balm,"Monarda citriodora, and fistulosa ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Monardella odoratissima,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Montia sibirica,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Morina longifolia ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Morina persica,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Muhlenbergia axillaris, cuspidata, glomerata, and racemosa ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,Muhlenbergia mexicana,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Muscari comosum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Mutisia ilicifolia, and latifolia",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to +4ºC (39ºF) for 12 wks, move to 10 to 12ºC (50 - 53ºF) for germination"
,Myosotidium hortensia,,,,,,,,,"Sow at Max. 5ºC (41ºF), germ. irregular, often several months"
,"Myosotis alpestris, palustris, and sylvatica ,",,,,,,,,,"Sow at 20ºC (68ºF), germ. in less than two wks"
,Myosotis pulvinaris,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Myrrhis odorata ,",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
,Narcissus poeticus,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Narcissus serotinus,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Narthecium assifragum,,,,,,,,,"Sow at 22ºC (72ºF) in muddy compost for 2-4 wks, move to 0ºC (32ºF) for 4-6 wks, after which temperature should be raised gradually."
Catmint,"Nepeta cataria ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Catmint,"Nepeta clarkei , dirphya, x faassenii, mussinii, nervosa, nuda, and teydea,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Catmint,"Nepeta sibirica, stewartiana, and subsessilis ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Nerium oleander,,,,,,,,,"Sow at 23ºC (73ºF), germination in about two wks"
,"Nomocharis farreri, and saluenensis ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Nonea pulla,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Notothlaspi rosulatum,,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Evening Primrose,"Oenothera acaulis, argilicola, berlandierii, biennis, caespitosa, elata, fruticosa, kunthiana, laciniata, odorata, pallida, perennis, pilosella, rhombipetala, rosea, speciosa, tetragona, and versicolor, and aff. macroscles,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
Evening Primrose,Oenothera erythrosepala,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Evening Primrose,"Oenothera macrocarpa, missouriensis, and syrticola",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Ononis rotundifolia, and spinosa",,,,,,,,,"Scarify seed, Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Onopordum acanthium,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Onosma arenaria, rigida, and stellulata",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Opuntia fragilis, humifusa, phaeacantha, and polyacantha ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination , recycle"
,"Origanum vulgare ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Ornithogalum pyrenaicum, and umbellatum",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Orobanche fasiculata ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Osteospermum jucundum ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Ourisia glandulosa,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Oxyria digyna,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Oxytropis campestris, lapponica, and purpurea ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Oxypolis rigidor ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Peony,"Paeonia anomala, delavayi, lactiflora, lutea, mascula, mlokosewitschii, mollis, officinalis, peregrina, suffruticosa tenuifolia, veitchii, and wittmanniana ,",,,,,,,,,"Impervious seed coats. Shake in dry sharp sand or nick carefully with a file. Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,Panax ginseng,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Pancratium maritimum,,,,,,,,,"Sow under thin cover at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Panicum lanuginosum, leibergii, oligosanthes, perlongum, praecocius, and virgatum ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Poppy,"Papaver alpinum, atlanticum, kerneri, lateritium, nudicaule, orientale, pilosum, and rhaeticum,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
Poppy,"Papaver alboroseum, and miyabeanum,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Poppy,"Papaver burseri, radicatum, rupifragum, sendtneri, and triniifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Poppy,Papaver spicatum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Paradisea liliastrum, and lusitanica ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Pardancanda norrissii ,",,,,,,,,,"Sow under very thin cover at 20ºC (68ºF) in light, germination slow"
,Paris quadrifolia,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Parnassia palustris ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Paronychia kapela,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Parthenium integrifolium ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 12 wks, then return to 20ºC (68ºF) for germination"
,"Patrinia gibbosa, and scabiosifolia",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 2-4 wks, then return to 20ºC (68ºF) for germination"
,"Patrinia triloba ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Pedicularis canadensis ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Pedicularis procera ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Pelargonium endlicherianum,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Peltiphyllum peltatum,",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
,"Peltoboykinia tellimoides, and watanabei,",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed"
,"Pennisetum alopecuroides,",,,,,,,,,"Sow at 22ºC (72ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Pennisetum compressum, orientale, and setaceum ,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germination in less than 2 weeks"
,"Periploca graeca ,",,,,,,,,,"Sow at 4ºC (40ºF) for 4-8 wks, move to 20ºC (68ºF) for germination"
,"Perovskia atriplicifolia ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Petalostemum candidum, purpureum, and villosum ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Petasites albus, and hybridus",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,Petrocoptis glaucifolia,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Petrophytum caespitosum,,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Petrorhagia saxifraga ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Peucedanum officinale, ostruthium, and verticillare",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Phacelia sericea,,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Phalaris arundinacea,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Phlomis cashmeriana, fruticosa, russeliana, and samia ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Phlomis tuberosa ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Phlox,"Phlox glaberrima v. interior, and pilosa ,",,,,,,,,,Sow immediately outdoors. Short viability seed will germinate in the spring.
Phlox,"Phlox x arendsii, and paniculata ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,Phragmites australis,,,,,,,,,Sow at 22ºC (72ºF) in muddy compost
,"Phuopsis stylosa ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Phygelius aequalis, and capensis ,",,,,,,,,,"Sow at 22-24ºC (71-75ºF), germ. in less than 2 weeks"
,"Physalis franchetii ,",,,,,,,,,"Wash seeds several times, Sow at 22-24ºC (71-75ºF), germinates in less than two wks"
,"Physalis subglabrata, and virginiana ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 22ºC (72ºF) for germination"
,Physochlaina orientalis,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Physoplexis comosa ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Physostegia virginiana ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Phyteuma humile, orbiculare, sibiricum, and spicatum ,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks, recycle"
,"Phyteuma hemisphaericum, nigrum, and scheuchzeri ,",,,,,,,,,"Surface sow at 20ºC (68ºF) in light, germination slow"
,"Phytolacca acinosa, and americana ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Phytolacca octandra ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,Pimpinella saxifraga,,,,,,,,,"Sow at 20ºC (68ºF), germinates in about two wks"
,"Plantago lanceolata, major, and nivalis",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Platycodon apoyama, and grandiflorus ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,Plumbago capensis,,,,,,,,,"Sow at 23ºC (73ºF), germinates in less about 2 wks"
,"Poa alpina, and chaixii",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Poa palustris ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Podophyllum hexandrum, and peltatum ,",,,,,,,,,"Pour hot water over seeds, let soak 1-2 days until swelling noticeable. Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Jacob's Ladder,"Polemonium carneum ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Jacob's Ladder,"Polemonium boreale, caeruleum, cashmirianum, chartaceum, delicatum, foliosissimum, pauciflorum, reptans, x rickharsonii, and viscosum ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
Solomon's Seal,"Polygonatum canaliculatum, humile, latifolium, multiflorum, odoratum, and verticillatum ,",,,,,,,,,"Slow germinator - up to a year or more. Store seeds in layers of moist sand in the shade. Check seeds regularly in the spring, and sow them all as soon as radicles appear"
,Polygonum aubertii,,,,,,,,,Sow at +4ºC (39ºF) for germ. in about 7 weeks
,"Polygonum bistorta ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
,"Polygonum capitatum ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Polygonum filiforme, viviparum, and weyrichii",,,,,,,,,"Sow at 20ºC (68ºF), if no germ. in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,"Polytaenia nuttallii ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Potentilla alba, argentea, argyrophylla, atrosanguinea, calabra, concolor, crantzii, fragiformis, gracilis, megalantha, nepalensis, rupestris, and thurberi ,",,,,,,,,,"Sow at 20ºC (68ºF), germination slow"
,"Potentilla arguta, canadensis, caulescens, erecta, and fruticosa ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
,"Potentilla hyparctica, neumanniana, palustris, speciosa, and tridentata ,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Potentilla multifida, and pensylvanica ,",,,,,,,,,"Sow at 20ºC (68ºF), germinates in less than two wks"
,"Potentilla aurea, heptaphylla, and recta ,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
,Pratia angulata,,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
,"Prenanthes alba, aspera, and racemosa ,",,,,,,,,,"Sow at -4 to +4ºC (24-39ºF) for 12 wks, move to 20ºC (68ºF) for germination"
Primrose,"Primula alpicola, beesiana, x bullesiana, bulleyana, candelabra hybrids, cockburniana, pubescens, pulverulenta, and waltonii,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
Primrose,"Primula auricula, burmanica, chungensis, x chunglenta, elatior, hirsuta, integrifolia, japonica, juliae, pedemontana, poissonii, rosea, sieboldii, sinopurpurea, smithiana, veris, viscosa, and vulgaris ,",,,,,,,,,"Sow at 18-22ºC (64-71ºF) for 2-4 wks, move to -4 to +4ºC (24-39ºF) for 4-6 wks, move to 5-12ºC (41-53ºF) for germination"
Primrose,"Primula capitata, cortusoides, florindae, polyneura, x pubescens, saxatilis, sikkimensis, and sinopurpurea,",,,,,,,,,"Surface sow at 20ºC (68ºF), germination slow"
Primrose,"Primula denticulata, farinosa, halleri, nutans, polyantha hybrids, and viallii,",,,,,,,,,"Surface sow at 20ºC (68ºF), germinates in less than two wks"
Primrose,"Primula frondosa, luteola, secundiflora, scotica , and verticillata,",,,,,,,,,"Sow at Max. 5ºC (41ºF), germination irregular, often several months"
Primrose,"Primula juliae ,",,,,,,,,,"Sow at 22ºC (71ºF) for 6 wks or more. Move to -4 to +4ºC (24-39ºF) for 6-8 wks. Then raise the temperature to 10ºC (50ºF). If no germination in 4-6 wks, repeat the cycle from the beginning. If the warm/cold cycles were not long enough, a new warm/cold cycle is needed."
,"Prunella grandiflora, laciniata, vulgaris, and webbiana,",,,,,,,,,"Sow at 20ºC (68ºF), if no germination in 3-4 wks, move to -4 to +4ºC (24-39ºF) for 2-4 wks"
